Date,Vegetable,Price
01/01/2022,Onion,36
01/01/2022,Potato,28
01/01/2022,Capsicum,44
01/01/2022,Mango Raw,82
01/01/2022,Ivy Gourd,36
01/01/2022,Amla,70
01/01/2022,Banana,4
01/01/2022,Coriander Leaves,10
01/01/2022,Green Chilli,42
01/01/2022,Spinach,10
01/01/2022,Tomato,59
01/01/2022,Bitter Gourd,53
01/01/2022,French Beans,47
01/01/2022,Ladies Finger,55
01/01/2022,Snake Gourd,39
01/01/2022,Lemon,39
01/01/2023,French Beans,35
01/01/2023,Amla,60
01/01/2023,Coriander Leaves,6
01/01/2023,Capsicum,48
01/01/2023,Ivy Gourd,27
01/01/2023,Potato,30
01/01/2023,Ladies Finger,32
01/01/2023,Bitter Gourd,27
01/01/2023,Lemon,45
01/01/2023,Green Chilli,35
01/01/2023,Banana,10
01/01/2023,Snake Gourd,30
01/01/2023,Onion,27
01/01/2023,Tomato,19
01/01/2023,Mango Raw,109
01/01/2023,Spinach,10
01/02/2022,Ladies Finger,58
01/02/2022,Tomato,19
01/02/2022,Coriander Leaves,10
01/02/2022,French Beans,38
01/02/2022,Green Chilli,42
01/02/2022,Mango Raw,72
01/02/2022,Capsicum,48
01/02/2022,Potato,20
01/02/2022,Snake Gourd,27
01/02/2022,Lemon,40
01/02/2022,Ivy Gourd,36
01/02/2022,Spinach,10
01/02/2022,Bitter Gourd,34
01/02/2022,Banana,4
01/02/2022,Amla,50
01/02/2022,Onion,35
01/02/2023,French Beans,32
01/02/2023,Capsicum,48
01/02/2023,Amla,60
01/02/2023,Ivy Gourd,22
01/02/2023,Potato,38
01/02/2023,Ladies Finger,42
01/02/2023,Tomato,24
01/02/2023,Mango Raw,100
01/02/2023,Onion,25
01/02/2023,Banana,9
01/02/2023,Snake Gourd,29
01/02/2023,Green Chilli,37
01/02/2023,Lemon,46
01/02/2023,Spinach,15
01/02/2023,Bitter Gourd,29
01/02/2023,Coriander Leaves,7
01/03/2022,Green Chilli,43
01/03/2022,Ivy Gourd,33
01/03/2022,Mango Raw,82
01/03/2022,Tomato,19
01/03/2022,Spinach,10
01/03/2022,Onion,37
01/03/2022,Banana,7
01/03/2022,Coriander Leaves,10
01/03/2022,Amla,60
01/03/2022,Potato,20
01/03/2022,Snake Gourd,27
01/03/2022,Capsicum,42
01/03/2022,Lemon,37
01/03/2022,French Beans,37
01/03/2022,Ladies Finger,54
01/03/2022,Bitter Gourd,34
01/03/2023,Spinach,11
01/03/2023,Tomato,28
01/03/2023,Potato,29
01/03/2023,Amla,70
01/03/2023,Ivy Gourd,28
01/03/2023,Snake Gourd,28
01/03/2023,Capsicum,43
01/03/2023,Green Chilli,39
01/03/2023,Lemon,55
01/03/2023,French Beans,40
01/03/2023,Coriander Leaves,8
01/03/2023,Ladies Finger,45
01/03/2023,Onion,18
01/03/2023,Banana,9
01/03/2023,Bitter Gourd,26
01/03/2023,Mango Raw,93
01/04/2022,Amla,60
01/04/2022,Green Chilli,39
01/04/2022,Bitter Gourd,24
01/04/2022,Onion,25
01/04/2022,Capsicum,32
01/04/2022,Potato,23
01/04/2022,Ivy Gourd,33
01/04/2022,Spinach,14
01/04/2022,Ladies Finger,19
01/04/2022,Banana,9
01/04/2022,Tomato,11
01/04/2022,Coriander Leaves,10
01/04/2022,Snake Gourd,17
01/04/2022,French Beans,25
01/04/2022,Mango Raw,54
01/04/2022,Lemon,40
01/04/2023,Ladies Finger,48
01/04/2023,Lemon,58
01/04/2023,Tomato,28
01/04/2023,Mango Raw,86
01/04/2023,Banana,10
01/04/2023,Onion,18
01/04/2023,Spinach,13
01/04/2023,Green Chilli,42
01/04/2023,Snake Gourd,27
01/04/2023,Bitter Gourd,32
01/04/2023,Amla,50
01/04/2023,French Beans,38
01/04/2023,Ivy Gourd,23
01/04/2023,Coriander Leaves,7
01/04/2023,Capsicum,46
01/04/2023,Potato,21
01/05/2022,Onion,22
01/05/2022,Ivy Gourd,32
01/05/2022,Tomato,51
01/05/2022,Capsicum,30
01/05/2022,Mango Raw,22
01/05/2022,Spinach,13
01/05/2022,Amla,50
01/05/2022,Banana,5
01/05/2022,Coriander Leaves,12
01/05/2022,Snake Gourd,18
01/05/2022,French Beans,35
01/05/2022,Potato,24
01/05/2022,Lemon,35
01/05/2022,Bitter Gourd,30
01/05/2022,Green Chilli,45
01/05/2022,Ladies Finger,18
01/05/2023,Banana,7
01/05/2023,Onion,20
01/05/2023,Capsicum,50
01/05/2023,Amla,70
01/05/2023,Mango Raw,30
01/05/2023,Ladies Finger,37
01/05/2023,Green Chilli,47
01/05/2023,Coriander Leaves,6
01/05/2023,Tomato,13
01/05/2023,Snake Gourd,27
01/05/2023,Bitter Gourd,28
01/05/2023,Potato,26
01/05/2023,Spinach,17
01/05/2023,French Beans,48
01/05/2023,Lemon,57
01/05/2023,Ivy Gourd,23
01/06/2022,Lemon,63
01/06/2022,Bitter Gourd,36
01/06/2022,Potato,27
01/06/2022,Ladies Finger,34
01/06/2022,Amla,60
01/06/2022,Ivy Gourd,26
01/06/2022,Snake Gourd,21
01/06/2022,Banana,7
01/06/2022,Coriander Leaves,9
01/06/2022,Green Chilli,35
01/06/2022,Mango Raw,23
01/06/2022,Tomato,54
01/06/2022,Spinach,10
01/06/2022,French Beans,67
01/06/2022,Capsicum,32
01/06/2022,Onion,19
01/06/2023,Spinach,17
01/06/2023,Snake Gourd,27
01/06/2023,Onion,23
01/06/2023,Banana,10
01/06/2023,Potato,22
01/06/2023,Capsicum,45
01/06/2023,Amla,70
01/06/2023,Mango Raw,24
01/06/2023,Ladies Finger,36
